Frame,Steering Angle (degrees)
1,90
2,90
3,90
4,90
5,N/A
6,N/A
7,N/A
8,N/A
9,N/A
10,N/A
11,91
12,90
13,90
14,91
15,90
16,90
17,N/A
18,N/A
19,N/A
20,N/A
21,N/A
22,N/A
23,90
24,89
25,88
26,89
27,89
28,89
29,N/A
30,N/A
31,N/A
32,N/A
33,N/A
34,N/A
35,90
36,90
37,90
38,90
39,90
40,89
41,N/A
42,N/A
43,N/A
44,N/A
45,N/A
46,N/A
47,N/A
48,90
49,90
50,91
51,90
52,90
53,N/A
54,N/A
55,N/A
56,N/A
57,N/A
58,N/A
59,N/A
60,90
61,90
62,90
63,90
64,90
65,N/A
66,N/A
67,N/A
68,N/A
69,N/A
70,N/A
71,90
72,89
73,90
74,90
75,90
76,90
77,N/A
78,N/A
79,N/A
80,N/A
81,N/A
82,N/A
83,N/A
84,89
85,90
86,91
87,90
88,90
89,N/A
90,N/A
91,N/A
92,N/A
93,N/A
94,N/A
95,N/A
96,N/A
97,89
98,90
99,90
100,89
101,N/A
102,N/A
103,N/A
104,N/A
105,N/A
106,N/A
107,N/A
108,N/A
109,89
110,88
111,88
112,89
113,N/A
114,N/A
115,N/A
116,N/A
117,N/A
118,N/A
119,N/A
120,90
121,90
122,90
123,90
124,89
125,N/A
126,N/A
127,N/A
128,N/A
129,N/A
130,N/A
131,89
132,89
133,90
134,89
135,89
136,88
137,N/A
138,N/A
139,N/A
140,N/A
141,N/A
142,N/A
143,90
144,90
145,89
146,89
147,89
148,88
149,88
150,N/A
151,N/A
152,N/A
153,N/A
154,N/A
155,89
156,89
157,N/A
158,N/A
159,N/A
160,N/A
161,N/A
162,N/A
163,N/A
164,N/A
165,N/A
166,N/A
167,N/A
168,N/A
169,N/A
170,N/A
171,N/A
172,N/A
173,N/A
174,N/A
175,N/A
176,N/A
177,N/A
178,N/A
179,N/A
180,N/A
181,N/A
182,N/A
183,N/A
184,N/A
185,N/A
186,N/A
187,N/A
188,N/A
189,N/A
190,N/A
191,N/A
192,N/A
193,N/A
194,N/A
195,N/A
196,N/A
197,N/A
198,N/A
199,N/A
200,N/A
201,N/A
202,N/A
203,N/A
204,N/A
205,N/A
206,N/A
207,N/A
208,N/A
209,N/A
210,N/A
211,N/A
212,N/A
213,N/A
214,N/A
215,N/A
216,N/A
217,N/A
218,N/A
219,N/A
220,N/A
221,N/A
